"category","text"
"POLITICS","Sheldon Adelson And The Missing $100 Million  |||  It's one of the biggest mysteries in Republican circles: why has Sheldon Adelson ― who spent upwards of $100 million during"
"POLITICS","Why Working Parents Should Be Happy About Trump's Weak Child Care Proposal  |||  It's a sign that the issue is finally getting the attention it deserves."
"POLITICS","Exxon Fires Back Over Fine For Violating Russia Sanctions While Tillerson At Helm  |||  Exxon sued the government over the $2 million fine, despite making $7.84 billion in profit last year."
"POLITICS","Trump Nominee Once Said Transgender Children Show That 'Satan's Plan Is Working'  |||  He also defended gay conversion therapy."
"POLITICS","Trump's Budget Sets Aside A Fraction Of What He Says Is Needed To Fix Infrastructure  |||  The president suggests carving out $200 billion in federal funding, and relying on private tax incentives for the rest of the $1 trillion."
"POLITICS","HUFFPOLLSTER: Hillary Clinton Won A Bigger-Than-Expected Victory In California  |||  Polls didn't indicate she had such a large lead, but the AP's Monday night call could have affected the race."
"POLITICS","Kellyanne Conway Compares 'Alternative Facts' To That Best Picture Oscar Mix-Up  |||  Really."
"POLITICS","Yet Another Legal Organization Throws Its Weight Behind Merrick Garland  |||  Obama's Supreme Court nominee is deemed “well qualified.”"
"POLITICS","Kellyanne Conway: Supporters Will Feel 'Betrayed' If Trump Picks Romney As Secretary Of State  |||  The president-elect's campaign manager is now officially against Mitt Romney's nomination for the post."
"POLITICS","Seth Meyers Says Michael Cohen Tried To Get Him To Apologize On-Air To Trump  |||  The effort stemmed from Meyers' 2011 roasting of Trump at the White House Correspondents' Dinner."
"POLITICS","Roseanne Touts Latest Right-Wing Conspiracy Theory About Child Sex Rings In Tweet  |||  The controversial tweet has since been deleted."
"POLITICS","Trump Set Down His Dog-Whistle For Racists – And Picked Up A Bullhorn  |||  When “President” Donald Trump approached the microphone far too many hours after white supremacists attempted to assert themselves"
"POLITICS","Feds Arrest Arizona Man For Selling Armor-Piercing Ammo To Las Vegas Shooter  |||  Douglas Haig allegedly met shooter Stephen Paddock multiple times."
"POLITICS","Defense Attorney Says He Was Savagely Beaten By An Employee Of Orange County DA's Office  |||  After he mentioned the ongoing jailhouse informant scandal, the DA's investigator ""lost it"" and started ""punching his lights out,"" his attorney says."
"POLITICS","POLL: Americans Trust James Comey Over Trump  |||  Few think Trump was right to fire Comey."
"POLITICS","Mitch McConnell Says Government Shutdown Over Dreamers Would Be 'Ridiculous'  |||  “There's not going to be a government shutdown."""
"POLITICS","Marco Rubio Campaign Says His Supporters Should Vote Against Him In Ohio  |||  It's all part of a strategy to keep Donald Trump from winning the nomination."
"POLITICS","New Jersey Democrat Faces Criticism For Goldman Sachs Investment In Abusive Company  |||  Former Goldman Sachs executive Phil Murphy leads the state's Democratic gubernatorial primary ahead of Tuesday's election."
"POLITICS","Batumi Is Beautiful Even If Trump's Activities There Are Not  |||  As the first year of the Trump administration approaches its end, the need for good investigative research about the sprawling"
"POLITICS","The G-20 Declaration Makes A Major Mention Of The World's Top Infectious Killer  |||  Tuberculosis finally got some high-level political attention in this year's G-20 Leaders' Declaration."
"POLITICS","Donald Trump's Comments About Groping Women Are The Least-Surprising Thing Ever  |||  His history of misogyny is a matter of public record."
"POLITICS","President Trump Puts His Indifference To The Environment On Hold For Elephants  |||  Trump's suspension of trophy imports suggests ""the existence of a small island of decency in a sea of sociopathy,"" one climate scientist said."
"POLITICS","Ron Johnson Says Hillary Clinton Should Be Impeached  |||  Of course Republicans gotta get a jump on this before she wins the election."
"POLITICS","Wednesday's Morning Email: Inside Trump's Order For A Grand Military Parade  |||  After seeing one in France."
"POLITICS","How Clinton Donor Got On Sensitive Intelligence Board  |||  Newly released State Department emails help reveal how a major Clinton Foundation donor was placed on a sensitive government"
"POLITICS","Senate Delays Health Care Vote After McCain Undergoes Surgery  |||  McCain's absence cast doubt on whether the Senate would be able to pass the legislation to replace Obamacare."
"POLITICS","Senate Confirms Trump's Labor Secretary  |||  Alexander Acosta will lead a far more employer-friendly Labor Department than existed under Obama."
"POLITICS","Donald Trump Taps Retired Gen. James Mattis As Defense Secretary  |||  Mattis faces a legal challenge if he accepts the job."
"POLITICS","We Cannot Allow The Normalization Of A Trump Presidency  |||  As of November 9th, people across the country have begun protesting Trump's victory."
"POLITICS","EPA Chief Scott Pruitt Continues Dirty Energy Tour  |||  A coal mine. A coal-fired power plant. Noticing a trend?"
"POLITICS","Gardner's Fake Schedule Conflict?  |||  Monger was featured in a Healthier Colorado advertisement opposing the U.S. Senate's bill to replace Obamacare."
"POLITICS","Federal Ethics Chief Asks EPA To Address 'Concerns' Over Scott Pruitt  |||  “The success of our government depends on maintaining the trust of the people we serve,” David Apol wrote."
"POLITICS","Democrats Score Special Election Upset In Wisconsin GOP Stronghold  |||  Donald Trump won the 10th Senate District in Wisconsin handily in 2016."
"POLITICS","Another State Shows Voter Fraud Isn't A Widespread Problem  |||  North Carolina's audit of last year's election found just two cases of voter impersonation -- the kind of fraud voter-ID laws are supposed to prevent."
"POLITICS","What Is The ""Right"" Way To Protest?  |||  To the Right, it seems there is no right way to protest"
"POLITICS","New York City Council Votes To Make Revenge Porn Illegal  |||  The city council passed legislation to make it illegal to share ""intimate images"" of someone without their consent."
"POLITICS","Donald Trump's Lawyer Suggests James Comey Should Be Investigated For Leaking Memo To NYT  |||  The former FBI director may have broken the law, Marc Kasowitz said in a statement."
"POLITICS","Pence's Answer On Confederate Statues? Leave Them, And Build Others To Honor 'Progress.'  |||  ""We ought to be celebrating the men and women who have helped our nation move toward a more perfect union."""
"POLITICS","News Roundup for October 4, 2017  |||  We got your news right here. 1. The girlfriend of Las Vegas mass shooting suspect Stephen Paddock will talk to the FBI, and"
"POLITICS","Hillary Need Not Apologize For What Happened  |||  Her destruction was decades in the making."
"POLITICS","Sean Spicer Apologizes For Holocaust Remarks  |||  ""It was a mistake,"" the White House press secretary said."
"POLITICS","For-Profit College Barons In Vegas: Have They Hit The Jackpot?  |||  While everyone else is glued to Comey TV, the discredited for-profit college trade association CECU is meeting this week"
"POLITICS","Pretend Journalist Tucker Carlson Calls Real Journalists 'Cowards'  |||  The Fox News performer-slash-pundit said that U.S. journalists are ""cringing animals."""
"POLITICS","Rudy Giuliani Claims Online Videos Show Hillary Clinton Is Unhealthy  |||  So much for the Trump campaign's pivot."
"POLITICS","Tonight's GOP Debate In Miami Can't Possibly Top Last Week's Circus...  |||  ... Can it?"
"POLITICS","Meet The New Class Of Wall Street Democrats  |||  They just voted for a Trump nominee who worked as the bailout lawyer for Goldman Sachs."
"POLITICS","Do U.S. Hotels Need Metal Detectors?  |||  In response to the recent mass shooting at the Route 91 Harvest Festival in Las Vegas, many people are arguing about whether"
"POLITICS","'They're Hiding Things': Sanjay Gupta Reveals What Trump's Doctors Aren't Saying  |||  CNN's chief medical correspondent says it's ""very hard to trust or believe” Trump's medical team right now."
"POLITICS","Conservative Pundit Hits GOP With A Scathing Question  |||  CNN commentator S.E. Cupp slammed the ""gibberish"" and ""nonsense"" coming from elected Republicans."
"POLITICS","The Republican Party Can't Rid Itself Of Trump, Even When He's Not There  |||  His proposals and ideas came to the Fox News debate, even though he didn't."
"POLITICS","Jeff Flake Says A Republican Should Challenge Trump For The Nomination In 2020  |||  The retiring Arizona senator didn't elaborate on whether he'd be the one."
"POLITICS","A Bernie Delegate Has The Most Bernie Metaphor For The Democratic Convention  |||  For people accustomed to ""really healthy granola,"" the nominating convention is white bread."
"POLITICS","Marco Rubio Loses 9 More States, Falls To 1-13 On Election Season  |||  The candidate of the Republican establishment is in big trouble."
"POLITICS","Georgia Republican: Ending Confederate Holidays 'No Better Than What ISIS Is Doing'  |||  Also, the KKK ""was not so much a racist thing but a vigilante thing to keep law and order."""
"POLITICS","Birther Issue Reborn: Trump To Make Statement On Obama Birth  |||  Trump said he planned to address President Obama's citizenship a day after he refused to say whether he believed Obama was born in the U.S."
"POLITICS","California Has A Policy Approach And It's Clearly Working  |||  You don't always have to be a wonk to appreciate statistics. The nonpartisan Legislative Analyst's Office tweeted good news"
"POLITICS","Pressed On Obamacare Replacement, Ted Cruz Dodges The Question  |||  Truth is, Republicans don't have a better alternative to the health care law."
"POLITICS","Obamacare Had Its Biggest Day Ever This Week, President Says  |||  More people signed up on the Obamacare exchanges Thursday than on any prior single day."
"POLITICS","Ted Cruz Praises GOP Push For Civil Rights, Ignoring How His Party Has Trampled Them  |||  His RNC speech left out all the hard work the party has done to curtail minority and LGBT rights."
"POLITICS","Messages Are Projected On Twitter HQ After Trump's North Korea Tweets  |||  ""A tweet starts WWIII?"""
"POLITICS","After 6 Months, Donald Trump's Presidency Is Stillborn  |||  Being Trump, he'll try to threaten, blame and divide his way out of failure."
"POLITICS","Trump Now Insists He Didn't Fire James Comey Over 'Phony Russia Investigation'  |||  But days after he booted the FBI director, Trump said ""this Russia thing"" was on his mind."
"POLITICS","Mueller Probe Zeroes In On Trump's Inner Circle  |||  The special counsel's team has reportedly interviewed the CIA director, the NSA director, and the Director of National Intelligence."
"POLITICS","White House Publishes Contact Information Of People Who Wrote To It Concerned About Privacy  |||  The same commission that published the information has promised to protect sensitive voter information."
"POLITICS","William Barr's Partisan 'Authoritarian' Trump Defense Triggers Calls For His Impeachment  |||  The attorney general drew backlash after calling Democratic ""resistance"" against the president a dangerous ""holy mission."""
"POLITICS","Sitting with George Washington, Colin Kaepernick And The Other Son Of Bitches  |||  I cannot stand – not until once again those words in the Constitution mean to me what they are supposed to."
"POLITICS","AIPAC Head Gives Emotional Apology For Donald Trump Attack On Obama  |||  But the group was silent on Trump's proposed ban on Muslims."
"POLITICS","Chelsea Manning Appeals 'Grossly Unfair And Unprecedented' Conviction  |||  Lawyers for Chelsea Manning appealed her conviction on Thursday, calling it “grossly unfair and unprecedented” and arguing"
"POLITICS","Twitter Users Gleefully Troll Steve Bannon Over Breitbart Exit  |||  ""You know Steve Bannon's going away card is all-white & [blank inside] like he is."""
"POLITICS","We Will Use The Fear Of A Trump Presidency To Elect The Next Obama  |||  We will not normalize a person that boasts about sexually assaulting a woman."
"POLITICS","New Deduction Expected To Benefit GOP Leaders Was Needed For Votes: Cornyn  |||  Cornyn conceded that if the Democrats had participated in negotiating the measure, “we probably could have made it better.”"
"POLITICS","How Can Hillary Clinton Win The Bernie Sanders Vote?  |||  The Bernie Sanders campaign began less as an attempt to capture the nomination than as an effort to gain leverage over Hillary"
"POLITICS","HUFFPOLLSTER: A Majority Of GOP Voters Oppose Efforts To Stop Donald Trump  |||  Half of Republicans don't want Trump as their presidential nominee, but they don't necessarily want to stop him either."
"POLITICS","Here's Why Authorities Aren't Calling The Las Vegas Massacre An Act Of Terrorism  |||  The federal government likely wouldn't have charged Stephen Paddock with terrorism, even if he'd lived."
"POLITICS","Trumps Visit Rep. Steve Scalise And Capitol Police Officer In Hospital  |||  The president and first lady bring flowers to the wounded congressman and officer."
"POLITICS","The Epic Fail Of Congress  |||  By Kica Matos For the last decade or so, Carlos and his parents have spent Thanksgiving dinner with my family. Questions"
"POLITICS","Trump Administration Seeks To Cut Aid To El Salvador, Guatemala, Honduras  |||  Trump blames the Central American countries for a recent influx of asylum seekers."
"POLITICS","Sessions Has Undermined The Rule Of Law  |||  In his appearance before the Senate Select Intelligence Community, Attorney General Jeffrey Sessions refused to answer any"
"POLITICS","Ex-Ethics Chief Roasts Trump-Defending Republicans With A List Of Future Quotes  |||  Walter Shaub also delivered a dramatic takedown of White House counsel Pat Cipollone's new letter decrying the impeachment inquiry."
"POLITICS","Joe Biden Sets $15 Minimum Wage For Federal Contractors  |||  The higher wage floor will apply to new federal contracts across the country after Jan. 30."
"POLITICS","Donald Trump Wins Arizona Republican Primary  |||  He collects 58 delegates in the winner-take-all contest."
"POLITICS","Republicans Expect To Pass All 12 Spending Bills, Don't Ask If Santa Claus Is Real  |||  Don't harsh their buzz, man."
"POLITICS","The Army Just Enlisted Its First Infantrywoman  |||  “I want to deploy, see action, and I definitely want to go to Airborne school,” said Tammy Barnett, a police officer."
"POLITICS","Americans Don't Really Trust Any Of The Candidates In An International Crisis  |||  Republicans and Democrats also hold vastly different views on America's foreign policy priorities."
"POLITICS","Nevertheless, She Persisted: A Year After The First Women's March, Energy Is Still High  |||  ""There's a lot more rage and a lot more anger in this march."""
"POLITICS","Most Americans Think It's Racist To Talk About Immigrants From 'Shithole Countries'  |||  America still sees itself as a nation of immigrants."
"POLITICS","Trump-Inspired Businessman Wins Indiana's GOP Senate Primary  |||  He defeated two congressmen and will challenge Democratic Sen. Joe Donnelly in November."
"POLITICS","GOP Senators Defend Sessions As Trump Continues Publicly Humiliating Him  |||  The president has rebuked his attorney general for positions Trump once held."
"POLITICS","Georgia County Official Faces Heat For Calling Civil Rights Leader John Lewis A 'Racist Pig'  |||  He rejects calls to resign and says he just wanted ""to make him mad."""
"POLITICS","Martin Gottesfeld Has Stopped All Fluids And Refuses Forced Hydration  |||  Martin Gottesfeld, the man accused taking Boston Children's Hospital offline to save Justina Pelletier, has released the"
"POLITICS","Uncommitted GOP Delegates Are About To Become The New Political 'It Girls'  |||  In 1976, the last time there was a contested GOP convention, Gerald Ford and Ronald Reagan gave these folks constant attention."
"POLITICS","Tuesday's Morning Email: Trump Faces Growing Firestorm Over Fight With Fallen Soldier's Family  |||  John McCain joined the growing chorus of unhappiness with Donald Trump's attacks on the Khan family."
"POLITICS","Conservative Heavyweights Come Out Against Trump  |||  As the election of 2008 approached, America was in crisis. And as we would soon learn, that crisis would not go to waste"
"POLITICS","Millennials Are Drowning And They Need A New Safety Net  |||  Economic security is quickly becoming a luxury of the past."
"POLITICS","Trump Is In His Best Position Yet To Confirm Incompetent Judges  |||  Senate Republicans just strengthened their majority. Mitch McConnell is laser-focused on the courts. What could go wrong?"
"POLITICS","Get Ready For Racial Profiling Under President Donald Trump  |||  ""I think profiling is something that we're going to have to start thinking about as a country."""
"POLITICS","El Salvador Frees Three Women Convicted Of Abortions  |||  The three are among at least 17 Salvadoran women activists consider unjustly convicted and imprisoned following obstetric emergencies."
"POLITICS","Next Week's Republican Debate In Utah Canceled  |||  Republican front-runner Donald Trump said he would not be attending."
"POLITICS","8.8 Million People Enrolled In Obamacare Plans For 2018  |||  The truncated sign-up period for 2018 policies closed on Dec. 15."
"POLITICS","Bears, Packers Link Arms During National Anthem  |||  NFL players again stood in solidarity after President Donald Trump's call to fire players protesting racial injustice."
"POLITICS","Trump Denies Mentioning The Word 'Israel' To Russians At Oval Office Meeting  |||  Nobody said he said the thing he says ""they were all saying"" he said."
"POLITICS","Marco Rubio Doesn't Have A Clue What 'Oscars So White' Means  |||  Instead, he thinks Hollywood's problem is ""the values they are trying to ram down our kids' throats."""
"POLITICS","Joe Biden: 'I Would Have Been The Best President'  |||  ""I just wasn't ready to be able to do that."""
"POLITICS","Anderson Cooper Shares 'The Sad Fact' About Mass Shootings In The U.S.  |||  The CNN anchor showed a map detailing mass shootings in the last month alone, reeling off the killings one by one."
"POLITICS","David Duke Fundraising Letter Urges Louisianans To Support Trump-Duke Ticket  |||  Supporters can buy an autographed hat with the words “I'm for Duke & Trump!” emblazoned on it."
"POLITICS","To Fend Off Hackers, Local Governments Get Help From States  |||  In a recent survey, nearly a third of local government IT officers reported a spike in cyberattacks during the past 12 months."
"POLITICS","Arizona House Passes Bill Requiring Women Seeking Abortions To Say Why  |||  ""It's none of the government's business why a woman is getting an abortion,"" said state Rep. Athena Salman (D)."
"POLITICS","Senate Can't Pass Methane Rollback So Interior Decides To Do It Anyway  |||  The Obama-era regulation is one the agency plans to “suspend, revise or rescind."""
"POLITICS","Petition Urges Congress To Fund FEMA, Not Trump's Border Wall  |||  President Donald Trump has threatened a government shutdown over funding for the wall, while proposing to cut federal funds for the disaster relief agency."
"POLITICS","These Teachers Have A Plan To Fight Back Against Donald Trump  |||  “We will teach empathy and solidarity in the face of attempts to divide us."""
"POLITICS","Michael Flynn Caught Lying About Russia Talks, Reports Say  |||  Flynn reportedly broke the law by discussing sanctions with the Russian ambassador."
"POLITICS","What The Democrats Need Is A Defensive President  |||  JACK HITT: With both parties chronically incapable of settling on a nominee, we prepare to leave South Carolina—opting for"
"POLITICS","We Must Emphasize Reading For The Sake Of Our Democracy  |||  If we want civically minded citizens, promoting lit and lit comprehension will be key."
"POLITICS","McCain, Graham Announce Support For Former Exxon Mobil CEO Rex Tillerson  |||  McCain and other senators had been concerned about Tillerson's ties to Russia."
"POLITICS","GOP Voters Will Probably Support Anyone Their Party Nominates  |||  They're about equally likely to say they'd back Donald Trump, Marco Rubio or Ted Cruz."
"POLITICS","Top Republicans Say Trump Isn't About To Fire Mueller. But They Can't Stop Attacking Him.  |||  But will all that change later this week?"
"POLITICS","An SOS To Trump Supporters  |||  This is not a condemnation of your vote or your anger toward a government system in need of fixing."
"POLITICS","FBI Deputy Director Andrew McCabe, A Frequent Trump Foil, Is Leaving The Bureau  |||  He was an ally of former FBI Director James Comey, and has been at the center of some of the bureau's biggest cases in recent years."
"POLITICS","Cabinet Pick Wilbur Ross Struggles To Explain How He'll Deal With Trump's Conflicts Of Interest  |||  The billionaire nominee for commerce secretary agreed to sell his own assets."
"POLITICS","The Supreme Court Will Decide If This Band's Name Is Too Offensive To Be Trademarked  |||  The Slants insist their name is protected by the Constitution. But the government thinks otherwise."
"POLITICS","George W. Bush Regrets Poncho Battle That Made Him 'Trending'  |||  But he ""can't remember"" saying the inauguration was ""some weird s**t."""
"POLITICS","Bernie Sanders Ruthlessly Sums Up 'What Happened' To Hillary Clinton  |||  Her former campaign rival fires back at accusations in Clinton's book."
"POLITICS","Gubernatorial Races More Important Than Ever With Roe v. Wade On The Chopping Block  |||  The issue of abortion access will be felt immediately in states with GOP-controlled legislatures like Michigan and Pennsylvania."
"POLITICS","4 Bizarre Moments From Anthony Scaramucci's CNN Call-In Segment  |||  ""The president also told me, if you're nice to me in this segment, he'll let me come back on the show. Is that cool?"""
"POLITICS","Anthony Weiner On Being Featured In Trump's Attack Ad: 'I'm Cool With It'  |||  The ad targeted Hillary Clinton and took aim at Weiner in the process."
"POLITICS","Trump's Tariff Tirade Makes More Sense After You Watch 'Mean Girls'  |||  That explains everything!"
"POLITICS","Auschwitz Memorial Slams GOP Congressman For Recording Video Inside Gas Chamber  |||  Rep. Clay Higgins called for ""invincible"" military while in death chamber."
"POLITICS","Resisting Trump Is Not Enough  |||  If we don't build an alternative movement, our defensive struggles could enhance Trump's popularity rather than to diminish it."
"POLITICS","Jeb! Comeback Watch: Former AIG Failure To The Rescue  |||  Hank Greenberg is doubling down on his Jeb bets. What could go wrong?"
"POLITICS","Disability Rights Groups Join Lawsuit Over Georgia Voter Suppression Law  |||  The Georgia-based groups state in an amended complaint that the law violates the Americans with Disabilities Act by discriminating against disabled voters."
"POLITICS","Here's What Congressional Democrats Are Doing About Trump's Business Conflicts  |||  “It is up to us to act as an independent check on the executive branch.”"
"POLITICS","Trump's Russia Connection Demands An Unimpeded Investigation  |||  Special counsel Robert Mueller's mission is remarkable: to determine whether President Trump or his associates bartered the"
"POLITICS","Swedish Police Featured In Film Shown By Fox News Say They Were Selectively Edited  |||  ”It was supposed to be about crime in high risk areas... There wasn't any focus on migration or immigration.”"
"POLITICS","DOJ Admits It Isn't Legal To Keep Prosecuting Washington State Medical Marijuana Users  |||  The so-called Kettle Falls Five were first charged in 2012."
"POLITICS","What Money For Trump's Border Wall Could Buy In Disaster Relief Funding  |||  Much of the aid needed in the aftermath of a hurricane like Harvey would cost significantly less than the $1.6 billion proposed for wall construction."
"POLITICS","John Kasich: GOP Candidate Said He Didn't Invite Trump To Ohio Rally  |||  Trump headlined a Saturday rally for Troy Balderson ahead of a closely watched Tuesday House election."
"POLITICS","Trump's White House Does Not Want To Talk About Kushner And Russia. At All.  |||  Top aides McMaster and Cohn refuse to comment on a report that Trump's son-in-law wanted to set up a secret back channel to speak with Russia."
"POLITICS","Youth Suing Trump Bring Climate Fight To Washington  |||  “We are suing because none of us and none of you have time to wait,” plaintiff Kelsey Juliana said."
"POLITICS","GOP No Longer Cares About The Deficit If It Means Women Having More Babies  |||  More than 4 in 10 U.S. births are paid for by Medicaid, the state-federal health insurance program for the poor — and fewer abortions will mean more births."
"POLITICS","Vladimir Putin Shows Off His Musical Skills On A Piano In China  |||  No tip jar?"
"POLITICS","In An Emergency, Data Is Better Than Drama. The Harvey Coverage Hasn't Always Delivered. | The Knife Media  |||  Publications have mixed facts with fear-inspiring language."
"POLITICS","Hey, Bernie, Vermont Is Not Enough: Your Guide To Super Tuesday's Challenges  |||  Super Tuesday is the biggest test yet for the presidential candiates. Here's the bar each will have to clear."
"POLITICS","College Faculty Member Caught On Video Telling Asian-American Man To 'Go Back To Your Home Country'  |||  Tarin Olson is on leave from Golden West College after the video emerged on Facebook."
"POLITICS","HUFFPOLLSTER: Obamacare Hits Highest Favorability Since 2010  |||  New polls show support for the law rising, mostly among independents."
"POLITICS","Supreme Court Again Rejects Illinois Ex-Governor's Corruption Appeal  |||  Blagojevich began serving a 14-year prison sentence in 2012."
"POLITICS","White House: 'There Is Nothing Further To Investigate' About Trump's Russia Ties  |||  Press Secretary Sean Spicer insisted that Russia's meddling in elections ""has been investigated up and down."""
"POLITICS","Obama Warned Two Weeks Ago That Something Like The Orlando Shooting Could Happen  |||  ""I cannot prohibit those people from buying a gun,"" the president said."
"POLITICS","Thursday's Morning Email: Australia Celebrates As Parliament Approves Same-Sex Marriage  |||  Same-sex weddings are expected to begin in 2018."
"POLITICS","Full Speed Ahead In California  |||  Californians aren't just talking about clean energy, they are aggressively pursuing it."
"POLITICS","Rabid Anti-Muslim Ex-FBI Agent Is Training Texas Police  |||  Conspiracy theorist John Guandolo, who says Islam is ""barbaric and evil,"" conducted a state-approved training session this month."
"POLITICS","The Spirit Of Paris Must Prevail  |||  Trump's decision constitutes a serious offense against our planet and against humanity."
"POLITICS","With Opioid Crisis, A Surge In Hepatitis C  |||  A Quiet Disease Compounding the problem is a lack of perceived urgency. Hepatitis C doesn't kill children or adults in"
"POLITICS","Pivot? Trump Doesn't Need No Stinkin' Pivot  |||  If he was supposed to be transitioning to a ""presidential"" mode, Tuesday wasn't it."
"POLITICS","Most Republicans Think Donald Trump Has Changed The GOP For The Better  |||  A new poll finds that the president-elect is increasingly winning over Republicans."
"POLITICS","Carly Fiorina Slams Donald Trump, Lawmakers For Politicizing Sexual Misconduct  |||  ""Trump cares about a vote in the Senate -- no more, no less,"" Fiorina said about the president's implicit support for Roy Moore in the Alabama race."
"POLITICS","GOP Rep. Mo Brooks Uses Audio From Baseball Practice Shooting In Campaign Ad  |||  One staffer for House Majority Whip Steve Scalise said the ad made his ""stomach turn."""
"POLITICS","2 Russian Officials Charged In Massive Yahoo Hack  |||  They worked with two others to access the content of 6,500 accounts, the Justice Department said."
"POLITICS","Democrats Target One Of Their Own For Remaining On Trump Voter Fraud Panel  |||  They said he risks ""tarnishing"" his legacy."
"POLITICS","Steve Harvey Joins Trump For Urban Housing Talk  |||  He said he found the president-elect ""congenial and sincere."""
"POLITICS","A National Parks Twitter Account Is Defying Donald Trump With Climate Change Facts  |||  Stay bad, Badlands."
"POLITICS","Paul Ryan On Fatherhood And The Speakership  |||  He insisted on weekends with his family when he took the job. Here's how that's working out."
"POLITICS","Most Americans Don't Think The Media Is Honest  |||  That plays well into the Trump administration's strategy to discredit the press."
"POLITICS","Elizabeth Warren Is Sending You A Subliminal Message With Her Sleeves  |||  Democratic Sen. Elizabeth Warren moves with the fleet-footed bounce of a featherweight fighter — an agile pugilist who has"
"POLITICS","EPA Hid Scott Pruitt's Dinner With Climate Denier Accused Of Child Sex Abuse  |||  The EPA knew Vatican treasurer George Pell was under investigation, but went ahead with the dinner during Pruitt's trip to Italy."
"POLITICS","Donald Trump Is Wrong On How Many Delegates He Needs To Win  |||  He's not the presumptive nominee just because he has ""the most."""
